repeat,fold,n_test,n_positive,average_precision,roc_auc,threshold,validation_recall,precision,recall,f1,alert_rate,arm
0,0,294,48,0.5707567309798135,0.8129234417344174,0.3524071006157496,0.8085106382978723,0.28289473684210525,0.8958333333333334,0.43,0.5170068027210885,none
0,1,294,48,0.5204725591268734,0.8098746612466124,0.3052857459092049,0.8085106382978723,0.272108843537415,0.8333333333333334,0.41025641025641024,0.5,none
0,2,294,47,0.6542561260663132,0.8384873804806616,0.4248523025958685,0.8085106382978723,0.33043478260869563,0.8085106382978723,0.4691358024691358,0.391156462585034,none
0,3,294,47,0.621113424302868,0.8241881298992162,0.4720395158716335,0.8125,0.3763440860215054,0.7446808510638298,0.5,0.3163265306122449,none
0,4,294,47,0.6241343057433659,0.8180721853734171,0.42883214492509164,0.8125,0.31896551724137934,0.7872340425531915,0.4539877300613497,0.3945578231292517,none
1,0,294,48,0.5695667308441883,0.817920054200542,0.43075782699256004,0.8085106382978723,0.3418803418803419,0.8333333333333334,0.48484848484848486,0.3979591836734694,none
1,1,294,48,0.642574382688838,0.857300135501355,0.36896557653064993,0.8085106382978723,0.3233082706766917,0.8958333333333334,0.47513812154696133,0.4523809523809524,none
1,2,294,47,0.7197429631208501,0.8773365492290465,0.34006772847890193,0.8085106382978723,0.3006993006993007,0.9148936170212766,0.45263157894736844,0.48639455782312924,none
1,3,294,47,0.5876298090172372,0.7970540098199673,0.41351601783064623,0.8085106382978723,0.2975206611570248,0.7659574468085106,0.42857142857142855,0.41156462585034015,none
1,4,294,47,0.5382674708428274,0.7810319579636489,0.16273031057932233,0.8085106382978723,0.2028985507246377,0.8936170212765957,0.33070866141732286,0.7040816326530612,none
2,0,294,48,0.617288919673954,0.8250338753387534,0.3860711917214568,0.8085106382978723,0.3125,0.8333333333333334,0.45454545454545453,0.43537414965986393,none
2,1,294,48,0.5344937625260896,0.8009823848238482,0.48672879191722657,0.8085106382978723,0.3764705882352941,0.6666666666666666,0.48120300751879697,0.2891156462585034,none
2,2,294,47,0.6239005252283722,0.8119562408476183,0.39491576477064755,0.8125,0.3,0.8297872340425532,0.4406779661016949,0.4421768707482993,none
2,3,294,47,0.6119917677053942,0.814454302696184,0.4900681399180476,0.8125,0.3619047619047619,0.8085106382978723,0.5,0.35714285714285715,none
2,4,294,47,0.6835721025577156,0.8702730640020674,0.3432270221391315,0.8125,0.28368794326241137,0.851063829787234,0.425531914893617,0.47959183673469385,none
3,0,294,48,0.6189475734954233,0.8125,0.5456231088790532,0.8085106382978723,0.4722222222222222,0.7083333333333334,0.5666666666666667,0.24489795918367346,none
3,1,294,48,0.6623625288735909,0.8638211382113821,0.42932663838968516,0.8085106382978723,0.3669724770642202,0.8333333333333334,0.5095541401273885,0.3707482993197279,none
3,2,294,47,0.6682083021278297,0.8270307520027566,0.4985659693991388,0.8125,0.38202247191011235,0.723404255319149,0.5,0.30272108843537415,none
3,3,294,47,0.5808567205852262,0.8075630975966922,0.4923146649156535,0.8125,0.3482142857142857,0.8297872340425532,0.49056603773584906,0.38095238095238093,none
3,4,294,47,0.47625317589905874,0.7854251012145748,0.550214033303381,0.8125,0.36923076923076925,0.5106382978723404,0.42857142857142855,0.22108843537414966,none
4,0,294,48,0.5990774764210334,0.8580623306233063,0.43066185698509707,0.8085106382978723,0.38095238095238093,0.8333333333333334,0.5228758169934641,0.35714285714285715,none
4,1,294,48,0.7057196868928487,0.876609078590786,0.39328261519849034,0.8085106382978723,0.3416666666666667,0.8541666666666666,0.4880952380952381,0.40816326530612246,none
4,2,294,47,0.5915556054263481,0.79782927039366,0.3033269945659324,0.8085106382978723,0.23952095808383234,0.851063829787234,0.37383177570093457,0.5680272108843537,none
4,3,294,47,0.6085583189187028,0.7821517787923162,0.3823895351142464,0.8085106382978723,0.3,0.7659574468085106,0.4311377245508982,0.40816326530612246,none
4,4,294,47,0.5529638851659755,0.8079937979154106,0.4412409205251795,0.8085106382978723,0.33035714285714285,0.7872340425531915,0.46540880503144655,0.38095238095238093,none
0,0,294,48,0.49357580099163856,0.8097052845528456,0.11235955056179775,0.851063829787234,0.2802547770700637,0.9166666666666666,0.4292682926829268,0.5340136054421769,holdout
0,1,294,48,0.47534010978284297,0.7972137533875339,0.12987012987012986,0.8297872340425532,0.25806451612903225,0.8333333333333334,0.39408866995073893,0.5272108843537415,holdout
0,2,294,47,0.5998529377413094,0.8387888707037643,0.11290322580645161,0.851063829787234,0.32,0.851063829787234,0.46511627906976744,0.42517006802721086,holdout
0,3,294,47,0.5301872714716602,0.7971832199155827,0.26666666666666666,0.8541666666666666,0.36082474226804123,0.7446808510638298,0.4861111111111111,0.3299319727891156,holdout
0,4,294,47,0.5671808606674134,0.8244034800585751,0.14285714285714285,0.8333333333333334,0.3008130081300813,0.7872340425531915,0.43529411764705883,0.41836734693877553,holdout
1,0,294,48,0.527567187137913,0.8200372628726287,0.09302325581395349,0.8297872340425532,0.3418803418803419,0.8333333333333334,0.48484848484848486,0.3979591836734694,holdout
1,1,294,48,0.5285694063908336,0.8498052168021681,0.13043478260869565,0.8085106382978723,0.3233082706766917,0.8958333333333334,0.47513812154696133,0.4523809523809524,holdout
