feature,importance_mean,importance_sd,importance_sem,n_folds
heure_supplementaires,0.19252512042690037,0.026246289824588168,0.005249257964917634,25
annee_experience_totale,0.08849676306028906,0.039223530721501594,0.007844706144300318,25
revenu_mensuel,0.05685009616863735,0.030729488523299205,0.006145897704659841,25
satisfaction_employee_environnement,0.05663469280591636,0.019555529638355836,0.003911105927671167,25
satisfaction_employee_nature_travail,0.045374369855827955,0.015740292038284268,0.0031480584076568536,25
annes_sous_responsable_actuel,0.0409643579684485,0.019868091350224593,0.003973618270044919,25
annees_dans_le_poste_actuel,0.039694448485450416,0.02013304442393173,0.004026608884786346,25
annees_depuis_la_derniere_promotion,0.031256172599198634,0.01615589534214899,0.003231179068429798,25
proba_chgt_experience_par_an,0.02559078892823349,0.025771668159736923,0.005154333631947385,25
poste,0.023096377703023387,0.012697233539828368,0.002539446707965674,25
distance_domicile_travail,0.02309097562618965,0.016170740705747193,0.0032341481411494385,25
statut_marital,0.019979407174829066,0.015188710317097256,0.003037742063419451,25
nombre_participation_pee,0.019631999466315123,0.014216246201180371,0.002843249240236074,25
note_evaluation_precedente,0.018490234115532616,0.012838988428299657,0.0025677976856599313,25
satisfaction_employee_equipe,0.01446940712295689,0.012061451224035121,0.002412290244807024,25
departement,0.013261692899755968,0.01423597821531113,0.002847195643062226,25
domaine_etude,0.011325167594008428,0.01623130815262575,0.0032462616305251497,25
satisfaction_employee_equilibre_pro_perso,0.010754414532793457,0.013059278249955012,0.0026118556499910026,25
nombre_experiences_precedentes,0.010103898515051692,0.015944430626642487,0.0031888861253284973,25
nb_formations_suivies,0.008627156361565247,0.010986000840508488,0.0021972001681016978,25
evolution_note,0.008115106412126902,0.00847030496670054,0.0016940609933401081,25
genre,0.006696723989797061,0.01021790602084719,0.0020435812041694383,25
annees_dans_l_entreprise,0.0036344651295399377,0.015090927944079693,0.0030181855888159388,25
ratio_experience_vie_adulte,0.0031745898310142984,0.01833007364366289,0.0036660147287325777,25
age,0.001542492977475712,0.006647924016983987,0.0013295848033967974,25
niveau_education,0.0011683084811428886,0.00442528753899637,0.0008850575077992741,25
note_evaluation_actuelle,0.0008311888290784125,0.007605781978832157,0.0015211563957664314,25
niveau_hierarchique_poste,0.00010974684575325286,0.006161582411194591,0.0012323164822389183,25
employee_id_anon,0.0,0.0,0.0,25
augementation_salaire_precedente,0.0,0.0,0.0,25
code_sondage,0.0,0.0,0.0,25
eval_number,0.0,0.0,0.0,25
eval_number_int,0.0,0.0,0.0,25
nombre_employee_sous_responsabilite,0.0,0.0,0.0,25
proba_chgt_experience_par_an_adulte,-0.0012446741808894751,0.015603183793724223,0.0031206367587448447,25
changement_poste,-0.0014741675186529454,0.0045779394674140455,0.000915587893482809,25
frequence_deplacement,-0.0016545983657782087,0.0041195472891530005,0.0008239094578306001,25
